epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5997,3.19022,3.85625,3.55987,0.00478,0.65152,0.01088,0.00176,3.14216,3.95014,3.46885,2e-05,2e-05,2e-05
2,47.1211,3.12046,3.87713,3.45757,0.00533,0.72727,0.01261,0.00254,3.04045,3.98814,3.36477,5.406e-05,5.406e-05,5.406e-05
3,67.2983,3.04229,3.80135,3.39727,0.00556,0.75758,0.01875,0.00389,2.98403,3.9682,3.37573,8.02e-05,8.02e-05,8.02e-05
4,83.6699,2.95367,3.7892,3.3187,0.00644,0.87879,0.0247,0.00472,2.89531,3.85978,3.31429,9.842e-05,9.842e-05,9.842e-05
5,101.288,2.74574,3.47438,3.0474,0.00633,0.86364,0.02672,0.00521,2.83458,3.80703,3.25691,0.00010872,0.00010872,0.00010872
6,121.833,2.72965,3.60394,2.97517,0.00644,0.87879,0.02518,0.00643,2.72486,3.69142,3.15636,0.0001111,0.0001111,0.0001111
7,140.284,2.69793,3.36947,2.91044,0.00667,0.90909,0.02981,0.00769,2.62113,3.66368,3.06283,0.00010556,0.00010556,0.00010556
8,158.081,2.65699,3.36413,2.8216,0.00678,0.92424,0.03872,0.00973,2.5631,3.66179,2.99739,9.21e-05,9.21e-05,9.21e-05
9,173.815,2.44803,3.24141,2.60958,0.00678,0.92424,0.04097,0.01035,2.57205,3.64809,2.99392,7.072e-05,7.072e-05,7.072e-05
10,190.138,2.51296,3.34174,2.69083,0.00678,0.92424,0.04165,0.01168,2.54482,3.65414,2.96827,4.142e-05,4.142e-05,4.142e-05
